Annexure II-  Nifty 50 Index : July 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1154180729,63138.43977,0.56404662,1.57251807,0.27051661,1.13868437,-7.20393983,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,101054.8734,0.90277271,1.47369254,0.37445708,0.84583207,-5.31650807,0.02
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,75541.85065,0.67485237,0.68899783,0.18764459,1.31453579,3.5349351,0.01
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,108100.7524,0.965717,0.66119608,0.18367949,1.03063302,2.34932297,0.01
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6202154800,304920.2654,2.72400216,1.03500704,0.38463239,1.215044,-10.90727151,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2792576080,88475.43063,0.79039438,1.12468033,0.27873356,1.20358864,-4.39350525,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,6214286520,233521.9831,2.08616631,1.06571416,0.30432327,1.59995504,-5.9049653,0.01
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1597813220,105515.1112,0.9426182,1.16734342,0.37265533,1.00143017,-5.25291829,0.02
9,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,136834.2256,1.22240719,1.27951359,0.2981674,1.10933052,-9.11032028,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28510526595,520316.5131,4.64824239,0.91904013,0.32593585,1.14320182,-4.74223726,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615415650,87203.38075,0.77903053,0.67471706,0.15869013,1.05276974,3.23394648,0.02
12,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,85250.45998,0.76158414,1.02584851,0.33957831,0.75576511,-3.9800995,0.02
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834571090,77137.34957,0.68910574,0.60797152,0.15729225,0.98451688,-1.01301333,0.02
14,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274252240,75003.16608,0.67004004,1.14310398,0.35947214,0.89136901,-3.32361001,0.01
15,ETERNAL,Eternal Ltd.,E-RETAIL/ E-COMMERCE,9650350647,213349.474,1.9059554,1.21379424,0.14372242,2.70252796,16.52470187,0.03
16,GRASIM,Grasim Industries Ltd.,CEMENT,1361020908,104616.0034,0.93458603,1.09113028,0.40473865,0.74812341,-3.44876077,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,155074.5286,1.38535676,1.06506548,0.30073954,0.93244209,-15.0815689,0.02
18,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7667913646,1534566.866,13.70903782,0.91042479,0.44977642,0.77035218,0.83437422,0.01
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21546938260,80738.34112,0.72127517,0.78694079,0.21132258,1.00930433,-7.22092595,0.01
20,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,400031416,55166.84844,0.49283249,0.99681995,0.27966395,1.44954217,0.55698473,0.01
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247226523,98643.49546,0.88123068,1.30010677,0.35797089,0.78623156,-1.41444757,0.02
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,223121.9006,1.99325728,0.44484958,0.09383123,1.4629005,9.87535954,0.02
23,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14270051932,1053016.947,9.40711642,0.92109581,0.46073748,0.79412432,2.46230461,0.02
24,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12514119782,382460.575,3.41670774,0.593702491,0.239936945,0.56460767,-1.08056189,0.02
25,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7790558720,52469.02884,0.46873155,0.633809084,0.212465694,1.27302131,-8.39353285,0.02
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20771363140,542041.5969,4.84232321,1.08244427,0.33798775,0.96720496,-5.79348233,0.02
27,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,99220.64613,0.88638665,1.15516294,0.3840833,0.79324456,2.72415483,0.02
28,JIOFIN,Jio Financial Services Ltd.,NBFC,63531416230,107589.2407,0.96114741,1.56627082,0.39913007,1.46837011,0.76511094,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9941383635,290110.7891,2.59170185,0.9180859,0.27730667,1.8766176,-8.54633695,0.01
30,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2750718852,425810.7413,3.80397602,1.24518748,0.45989702,1.33998236,-0.9074064,0.02
31,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,282243.0223,2.52141523,1.36683099,0.39300274,0.93797878,0.62515707,0.01
32,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1572012870,165010.896,1.4741232,0.90330415,0.32750556,0.81961499,1.67741935,0.02
33,NTPC,NTPC Ltd.,POWER,96966661340,158049.8441,1.41193671,1.10764737,0.38105657,0.75734028,-0.19408779,0.02
34,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,80367.15679,0.7179592,0.63432497,0.20310188,1.4661491,-8.82651199,0.02
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,93354.21623,0.83397896,1.20797965,0.32414884,0.74976456,-1.31444249,0.01
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,93006038190,131483.2965,1.17460472,1.08858312,0.34872952,0.75591554,-2.96765589,0.03
37,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,1.35E+11,939265.0726,8.39091518,1.18099471,0.56350867,1.12906021,-7.35705718,0.01
38,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10023513200,82299.3223,0.73522018,0.81475444,0.22062457,1.03659569,0.1305554,0.03
39,SHRIRAMFIN,Shriram Finance Ltd.,NBFC,3761053406,88057.0252,0.78665656,1.62390733,0.37724246,1.75071522,-10.75192757,0.02
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924620034,305198.8453,2.72649085,1.04800205,0.40873601,0.74050852,-2.90120071,0.01
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,183516.1884,1.63944004,0.55482005,0.14275177,0.86951261,1.84997315,0.01
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3618087518,309285.6514,2.76300029,0.85733757,0.31150122,0.86146435,-12.28191797,0.01
